1
popSize bias beta 
4 0.2 0.2
380 1.68976 -1.68976  0.233416 0.0510352
390 1.68976 -1.68976  0.233416 0.0510352
400 1.68976 -1.68976  0.233416 0.0510352
410 1.68976 -1.68976  0.233416 0.0510352
420 1.68976 -1.68976  0.233416 0.0510352
430 1.68976 -1.68976  0.233416 0.0510352
440 1.68976 -1.68976  0.233416 0.0510352
450 1.68976 -1.68976  0.233416 0.0510352
460 1.68976 -1.68976  0.233416 0.0510352
470 1.68976 -1.68976  0.233416 0.0510352
480 1.68976 -1.68976  0.233416 0.0510352
490 1.68976 -1.68976  0.233416 0.0510352
500 1.68976 -1.68976  0.233416 0.0510352
10 5.80668 -5.80668  1.32185 0.731749
20 5.80668 -5.80668  1.32185 0.731749
30 3.07429 -3.07429  -0.0363856 0.761825
40 3.07429 -3.07429  -0.0363856 0.761825
50 3.07429 -3.07429  -0.0363856 0.761825
60 3.07429 -3.07429  -0.0363856 0.761825
70 3.07429 -3.07429  -0.0363856 0.761825
80 3.07429 -3.07429  -0.0363856 0.761825
90 3.07429 -3.07429  -0.0363856 0.761825
100 3.07429 -3.07429  -0.0363856 0.761825
110 3.07429 -3.07429  -0.0363856 0.761825
120 3.07429 -3.07429  -0.0363856 0.761825
130 3.07429 -3.07429  -0.0363856 0.761825
140 3.07429 -3.07429  -0.0363856 0.761825
150 3.07429 -3.07429  -0.0363856 0.761825
160 1.9186 -1.9186  -0.0363856 0.266391
170 1.89175 -1.89175  0.00256643 0.266391
180 1.89175 -1.89175  0.00256643 0.266391
190 1.89175 -1.89175  0.00256643 0.266391
200 1.89175 -1.89175  0.00256643 0.266391
210 1.89175 -1.89175  0.00256643 0.266391
220 1.89175 -1.89175  0.00256643 0.266391
230 1.89175 -1.89175  0.00256643 0.266391
240 1.89175 -1.89175  0.00256643 0.266391
250 1.89175 -1.89175  0.00256643 0.266391
260 1.89175 -1.89175  0.00256643 0.266391
270 1.89175 -1.89175  0.00256643 0.266391
280 1.89175 -1.89175  0.00256643 0.266391
290 1.89175 -1.89175  0.00256643 0.266391
300 1.89175 -1.89175  0.00256643 0.266391
310 1.89175 -1.89175  0.00256643 0.266391
320 1.89175 -1.89175  0.00256643 0.266391
330 1.89175 -1.89175  0.00256643 0.266391
340 1.89175 -1.89175  0.00256643 0.266391
350 1.89175 -1.89175  0.00256643 0.266391
360 1.89175 -1.89175  0.00256643 0.266391
370 1.61923 -1.61923  0.230784 -0.0205671
380 1.61923 -1.61923  0.230784 -0.0205671
390 1.61923 -1.61923  0.230784 -0.0205671
400 1.61923 -1.61923  0.230784 -0.0205671
410 1.61923 -1.61923  0.230784 -0.0205671
420 1.61923 -1.61923  0.230784 -0.0205671
430 1.61923 -1.61923  0.230784 -0.0205671
440 1.61923 -1.61923  0.230784 -0.0205671
450 1.61923 -1.61923  0.230784 -0.0205671
460 1.61923 -1.61923  0.230784 -0.0205671
470 1.61923 -1.61923  0.230784 -0.0205671
480 1.61923 -1.61923  0.230784 -0.0205671
490 1.61923 -1.61923  0.230784 -0.0205671
500 1.61923 -1.61923  0.230784 -0.0205671
10 4.58469 -4.58469  -0.702056 -1.04439
20 4.58469 -4.58469  -0.702056 -1.04439
30 4.58469 -4.58469  -0.702056 -1.04439
40 4.58469 -4.58469  -0.702056 -1.04439
50 4.58469 -4.58469  -0.702056 -1.04439
60 4.05919 -4.05919  -1.08345 -1.04439
70 3.92119 -3.92119  -1.08345 0.95528
80 3.92119 -3.92119  -1.08345 0.95528
90 3.92119 -3.92119  -1.08345 0.95528
100 3.92119 -3.92119  -1.08345 0.95528
110 3.92119 -3.92119  -1.08345 0.95528
120 3.92119 -3.92119  -1.08345 0.95528
130 3.92119 -3.92119  -1.08345 0.95528
140 3.92119 -3.92119  -1.08345 0.95528
150 3.92119 -3.92119  -1.08345 0.95528
160 3.92119 -3.92119  -1.08345 0.95528
170 3.92119 -3.92119  -1.08345 0.95528
180 3.92119 -3.92119  -1.08345 0.95528
190 3.92119 -3.92119  -1.08345 0.95528
200 3.92119 -3.92119  -1.08345 0.95528
210 3.92119 -3.92119  -1.08345 0.95528
220 3.92119 -3.92119  -1.08345 0.95528
230 3.65155 -3.65155  -0.235717 -0.529049
240 3.65155 -3.65155  -0.235717 -0.529049
250 1.90412 -1.90412  -0.228905 0.121339
260 1.90412 -1.90412  -0.228905 0.121339
270 1.90412 -1.90412  -0.228905 0.121339
280 1.90412 -1.90412  -0.228905 0.121339
290 1.90412 -1.90412  -0.228905 0.121339
300 1.90412 -1.90412  -0.228905 0.121339
310 1.90412 -1.90412  -0.228905 0.121339
320 1.90412 -1.90412  -0.228905 0.121339
330 1.90412 -1.90412  -0.228905 0.121339
340 1.90412 -1.90412  -0.228905 0.121339
350 1.90412 -1.90412  -0.228905 0.121339
360 1.90412 -1.90412  -0.228905 0.121339
370 1.90412 -1.90412  -0.228905 0.121339
380 1.90412 -1.90412  -0.228905 0.121339
390 1.90412 -1.90412  -0.228905 0.121339
400 1.90412 -1.90412  -0.228905 0.121339
410 1.90412 -1.90412  -0.228905 0.121339
420 1.90412 -1.90412  -0.228905 0.121339
430 1.90412 -1.90412  -0.228905 0.121339
440 1.90412 -1.90412  -0.228905 0.121339
450 1.90412 -1.90412  -0.228905 0.121339
460 1.90412 -1.90412  -0.228905 0.121339
470 1.90412 -1.90412  -0.228905 0.121339
480 1.90412 -1.90412  -0.228905 0.121339
490 0.189548 -0.189548  0.00645791 0.0463296
500 0.189548 -0.189548  0.00645791 0.0463296
10 4.90791 -4.90791  1.25284 0.21612
20 4.16458 -4.16458  0.352358 0.905294
30 4.16458 -4.16458  0.352358 0.905294
40 2.75471 -2.75471  0.0714077 0.905294
50 2.73446 -2.73446  0.0652778 0.905294
60 2.73446 -2.73446  0.0652778 0.905294
70 2.73381 -2.73381  0.0650735 0.905294
80 2.73381 -2.73381  0.0650735 0.905294
90 2.73381 -2.73381  0.0650735 0.905294
100 2.73381 -2.73381  0.0650735 0.905294
110 2.73381 -2.73381  0.0650735 0.905294
120 2.73381 -2.73381  0.0650735 0.905294
130 2.73381 -2.73381  0.0650735 0.905294
140 2.73381 -2.73381  0.0650735 0.905294
150 2.73381 -2.73381  0.0650735 0.905294
160 2.73381 -2.73381  0.0650735 0.905294
170 2.73381 -2.73381  0.0650735 0.905294
180 2.73381 -2.73381  0.0650735 0.905294
190 2.73381 -2.73381  0.0650735 0.905294
200 2.73381 -2.73381  0.0650735 0.905294
210 2.73381 -2.73381  0.0650735 0.905294
