1
popSize bias beta 
4 0.2 0.2
180 -18.7196 -0.488948  -7.85729 -9.77384
190 -18.7196 -0.488948  -7.85729 -9.77384
200 -18.7196 -0.488948  -7.85729 -9.77384
210 -18.7196 -0.488948  -7.85729 -9.77384
220 -18.7196 -0.488948  -7.85729 -9.77384
230 -18.7196 -0.488948  -7.85729 -9.77384
240 -18.7196 -0.488948  -7.85729 -9.77384
250 -18.7196 -0.488948  -7.85729 -9.77384
260 -18.7196 -0.488948  -7.85729 -9.77384
270 -18.7196 -0.488948  -7.85729 -9.77384
280 -18.7196 -0.488948  -7.85729 -9.77384
290 -18.7196 -0.488948  -7.85729 -9.77384
300 -18.7196 -0.488948  -7.85729 -9.77384
310 -18.7196 -0.488948  -7.85729 -9.77384
320 -18.7196 -0.488948  -7.85729 -9.77384
330 -18.7196 -0.488948  -7.85729 -9.77384
340 -18.7196 -0.488948  -7.85729 -9.77384
350 -18.7196 -0.488948  -7.85729 -9.77384
360 -18.7196 -0.488948  -7.85729 -9.77384
370 -18.7196 -0.488948  -7.85729 -9.77384
380 -18.7196 -0.488948  -7.85729 -9.77384
390 -19.0244 -0.184137  -8.18815 9.68833
400 -19.1765 -0.0320193  -8.00286 9.68833
410 -19.1765 -0.0320193  -8.00286 9.68833
420 -19.1765 -0.0320193  -8.00286 9.68833
430 -19.1765 -0.0320193  -8.00286 9.68833
440 -19.1765 -0.0320193  -8.00286 9.68833
450 -19.1765 -0.0320193  -8.00286 9.68833
460 -19.1765 -0.0320193  -8.00286 9.68833
470 -19.1765 -0.0320193  -8.00286 9.68833
480 -19.1765 -0.0320193  -8.00286 9.68833
490 -19.1765 -0.0320193  -8.00286 9.68833
500 -19.1765 -0.0320193  -8.00286 9.68833
10 -9.97263 -9.23587  -9.85734 -9.02071
20 -9.97263 -9.23587  -9.85734 -9.02071
30 -9.97263 -9.23587  -9.85734 -9.02071
40 -16.9648 -2.2437  -8.43546 9.94011
50 -16.9648 -2.2437  -8.43546 9.94011
60 -16.9648 -2.2437  -8.43546 9.94011
70 -16.9648 -2.2437  -8.43546 9.94011
80 -16.9648 -2.2437  -8.43546 9.94011
90 -16.9648 -2.2437  -8.43546 9.94011
100 -16.9648 -2.2437  -8.43546 9.94011
110 -16.9648 -2.2437  -8.43546 9.94011
120 -16.9648 -2.2437  -8.43546 9.94011
130 -16.9648 -2.2437  -8.43546 9.94011
140 -16.9648 -2.2437  -8.43546 9.94011
150 -16.9648 -2.2437  -8.43546 9.94011
160 -16.9648 -2.2437  -8.43546 9.94011
170 -16.9648 -2.2437  -8.43546 9.94011
180 -16.9648 -2.2437  -8.43546 9.94011
190 -16.9648 -2.2437  -8.43546 9.94011
200 -16.9648 -2.2437  -8.43546 9.94011
210 -16.9648 -2.2437  -8.43546 9.94011
220 -16.9648 -2.2437  -8.43546 9.94011
230 -16.9648 -2.2437  -8.43546 9.94011
