popSize bias beta 
4 0.2 0.2
10 10.3128 -10.3128  -0.253209 -3.20136
330 0.0494811 -0.0494811  -0.169654 -0.143871
340 0.0494811 -0.0494811  -0.169654 -0.143871
350 0.0494811 -0.0494811  -0.169654 -0.143871
360 0.0494811 -0.0494811  -0.169654 -0.143871
370 0.0494811 -0.0494811  -0.169654 -0.143871
380 0.0494811 -0.0494811  -0.169654 -0.143871
390 0.0494811 -0.0494811  -0.169654 -0.143871
400 0.0494811 -0.0494811  -0.169654 -0.143871
410 0.0494811 -0.0494811  -0.169654 -0.143871
420 0.0494811 -0.0494811  -0.169654 -0.143871
430 0.0494811 -0.0494811  -0.169654 -0.143871
440 0.0494811 -0.0494811  -0.169654 -0.143871
450 0.0494811 -0.0494811  -0.169654 -0.143871
460 0.0494811 -0.0494811  -0.169654 -0.143871
470 0.0494811 -0.0494811  -0.169654 -0.143871
480 0.0494811 -0.0494811  -0.169654 -0.143871
490 0.0494811 -0.0494811  -0.169654 -0.143871
500 0.0494811 -0.0494811  -0.169654 -0.143871
10 29.5311 -29.5311  -2.49374 4.82829
20 6.12198 -6.12198  -1.18965 -2.16949
30 4.97113 -4.97113  -0.736805 2.10434
40 4.97113 -4.97113  -0.736805 2.10434
50 0.0587935 -0.0587935  0.222605 -0.0961274
60 0.0587935 -0.0587935  0.222605 -0.0961274
70 0.0587935 -0.0587935  0.222605 -0.0961274
80 0.0587935 -0.0587935  0.222605 -0.0961274
90 0.0587935 -0.0587935  0.222605 -0.0961274
100 0.0587935 -0.0587935  0.222605 -0.0961274
110 0.0587935 -0.0587935  0.222605 -0.0961274
120 0.0587935 -0.0587935  0.222605 -0.0961274
130 0.0587935 -0.0587935  0.222605 -0.0961274
140 0.0587935 -0.0587935  0.222605 -0.0961274
150 0.0587935 -0.0587935  0.222605 -0.0961274
160 0.0587935 -0.0587935  0.222605 -0.0961274
170 0.0587935 -0.0587935  0.222605 -0.0961274
180 0.0587935 -0.0587935  0.222605 -0.0961274
190 0.0587935 -0.0587935  0.222605 -0.0961274
200 0.0587935 -0.0587935  0.222605 -0.0961274
210 0.0587935 -0.0587935  0.222605 -0.0961274
220 0.0587935 -0.0587935  0.222605 -0.0961274
230 0.0587935 -0.0587935  0.222605 -0.0961274
240 0.0587935 -0.0587935  0.222605 -0.0961274
250 0.0587935 -0.0587935  0.222605 -0.0961274
260 0.0587935 -0.0587935  0.222605 -0.0961274
270 0.0587935 -0.0587935  0.222605 -0.0961274
280 0.0587935 -0.0587935  0.222605 -0.0961274
290 0.0587935 -0.0587935  0.222605 -0.0961274
300 0.0587935 -0.0587935  0.222605 -0.0961274
310 0.0587935 -0.0587935  0.222605 -0.0961274
320 0.0587935 -0.0587935  0.222605 -0.0961274
330 0.0587935 -0.0587935  0.222605 -0.0961274
340 0.0587935 -0.0587935  0.222605 -0.0961274
350 0.0587935 -0.0587935  0.222605 -0.0961274
360 0.0587935 -0.0587935  0.222605 -0.0961274
370 0.0587935 -0.0587935  0.222605 -0.0961274
380 0.0587935 -0.0587935  0.222605 -0.0961274
390 0.0587935 -0.0587935  0.222605 -0.0961274
400 0.0587935 -0.0587935  0.222605 -0.0961274
410 0.0587935 -0.0587935  0.222605 -0.0961274
420 0.0587935 -0.0587935  0.222605 -0.0961274
430 0.0587935 -0.0587935  0.222605 -0.0961274
440 0.0587935 -0.0587935  0.222605 -0.0961274
450 0.0587935 -0.0587935  0.222605 -0.0961274
460 0.0587935 -0.0587935  0.222605 -0.0961274
470 0.0587935 -0.0587935  0.222605 -0.0961274
480 0.0587935 -0.0587935  0.222605 -0.0961274
490 0.0587935 -0.0587935  0.222605 -0.0961274
500 0.0587935 -0.0587935  0.222605 -0.0961274
10 10.7162 -10.7162  1.84541 2.70383
20 10.7162 -10.7162  1.84541 2.70383
30 7.64646 -7.64646  -0.56909 2.70603
40 4.68221 -4.68221  -2.14577 0.279058
50 4.68221 -4.68221  -2.14577 0.279058
60 4.68221 -4.68221  -2.14577 0.279058
70 4.68221 -4.68221  -2.14577 0.279058
80 4.68221 -4.68221  -2.14577 0.279058
90 0.790889 -0.790889  0.724237 0.51611
100 0.555058 -0.555058  0.724237 0.174755
110 0.555058 -0.555058  0.724237 0.174755
120 0.555058 -0.555058  0.724237 0.174755
130 0.555058 -0.555058  0.724237 0.174755
140 0.555058 -0.555058  0.724237 0.174755
150 0.555058 -0.555058  0.724237 0.174755
160 0.555058 -0.555058  0.724237 0.174755
170 0.555058 -0.555058  0.724237 0.174755
180 0.555058 -0.555058  0.724237 0.174755
190 0.555058 -0.555058  0.724237 0.174755
200 0.555058 -0.555058  0.724237 0.174755
210 0.555058 -0.555058  0.724237 0.174755
220 0.555058 -0.555058  0.724237 0.174755
230 0.555058 -0.555058  0.724237 0.174755
240 0.555058 -0.555058  0.724237 0.174755
250 0.555058 -0.555058  0.724237 0.174755
260 0.555058 -0.555058  0.724237 0.174755
270 0.555058 -0.555058  0.724237 0.174755
280 0.555058 -0.555058  0.724237 0.174755
290 0.0855627 -0.0855627  0.234571 0.174755
300 0.0189474 -0.0189474  0.136638 0.0166574
310 0.0189474 -0.0189474  0.136638 0.0166574
320 0.0189474 -0.0189474  0.136638 0.0166574
330 0.0189474 -0.0189474  0.136638 0.0166574
340 0.0189474 -0.0189474  0.136638 0.0166574
350 0.0189474 -0.0189474  0.136638 0.0166574
360 0.0189474 -0.0189474  0.136638 0.0166574
370 0.0189474 -0.0189474  0.136638 0.0166574
380 0.0189474 -0.0189474  0.136638 0.0166574
390 0.0189474 -0.0189474  0.136638 0.0166574
400 0.0189474 -0.0189474  0.136638 0.0166574
410 0.0189474 -0.0189474  0.136638 0.0166574
420 0.0189474 -0.0189474  0.136638 0.0166574
430 0.0189474 -0.0189474  0.136638 0.0166574
440 0.0189474 -0.0189474  0.136638 0.0166574
450 0.0189474 -0.0189474  0.136638 0.0166574
460 0.0189474 -0.0189474  0.136638 0.0166574
470 0.0189474 -0.0189474  0.136638 0.0166574
480 0.0189474 -0.0189474  0.136638 0.0166574
490 0.0189474 -0.0189474  0.136638 0.0166574
500 0.0189474 -0.0189474  0.136638 0.0166574
10 2.18327 -2.18327  -1.41812 0.414968
20 1.51034 -1.51034  0.201179 -1.21238
30 1.51034 -1.51034  0.201179 -1.21238
40 1.51034 -1.51034  0.201179 -1.21238
50 1.48492 -1.48492  -0.122682 -1.21238
60 0.192917 -0.192917  -0.317042 -0.303976
70 0.192917 -0.192917  -0.317042 -0.303976
80 0.192917 -0.192917  -0.317042 -0.303976
90 0.192917 -0.192917  -0.317042 -0.303976
100 0.192917 -0.192917  -0.317042 -0.303976
110 0.192917 -0.192917  -0.317042 -0.303976
120 0.192917 -0.192917  -0.317042 -0.303976
130 0.192917 -0.192917  -0.317042 -0.303976
140 0.192917 -0.192917  -0.317042 -0.303976
150 0.192917 -0.192917  -0.317042 -0.303976
160 0.192917 -0.192917  -0.317042 -0.303976
170 0.192917 -0.192917  -0.317042 -0.303976
180 0.192917 -0.192917  -0.317042 -0.303976
190 0.192917 -0.192917  -0.317042 -0.303976
200 0.192917 -0.192917  -0.317042 -0.303976
210 0.192917 -0.192917  -0.317042 -0.303976
220 0.192917 -0.192917  -0.317042 -0.303976
230 0.192917 -0.192917  -0.317042 -0.303976
240 0.192917 -0.192917  -0.317042 -0.303976
250 0.192917 -0.192917  -0.317042 -0.303976
260 0.192917 -0.192917  -0.317042 -0.303976
270 0.192917 -0.192917  -0.317042 -0.303976
280 0.0924015 -0.0924015  0.000368335 -0.303976
290 0.0924015 -0.0924015  0.000368335 -0.303976
300 0.0924015 -0.0924015  0.000368335 -0.303976
310 0.0924015 -0.0924015  0.000368335 -0.303976
320 0.0924015 -0.0924015  0.000368335 -0.303976
330 0.0924015 -0.0924015  0.000368335 -0.303976
340 0.0924015 -0.0924015  0.000368335 -0.303976
350 0.0924015 -0.0924015  0.000368335 -0.303976
360 0.0924015 -0.0924015  0.000368335 -0.303976
370 0.0924015 -0.0924015  0.000368335 -0.303976
380 0.0924015 -0.0924015  0.000368335 -0.303976
390 0.0924015 -0.0924015  0.000368335 -0.303976
400 0.0924015 -0.0924015  0.000368335 -0.303976
410 0.0924015 -0.0924015  0.000368335 -0.303976
420 0.0924015 -0.0924015  0.000368335 -0.303976
430 0.0924015 -0.0924015  0.000368335 -0.303976
440 0.0924015 -0.0924015  0.000368335 -0.303976
450 0.0924015 -0.0924015  0.000368335 -0.303976
460 0.0924015 -0.0924015  0.000368335 -0.303976
470 0.0924015 -0.0924015  0.000368335 -0.303976
480 0.0924015 -0.0924015  0.000368335 -0.303976
490 0.0924015 -0.0924015  0.000368335 -0.303976
500 0.0924015 -0.0924015  0.000368335 -0.303976
10 25.1409 -25.1409  -0.197657 5.01017
20 22.4989 -22.4989  -2.80207 3.82718
30 19.9388 -19.9388  2.33097 3.80859
40 6.13709 -6.13709  -2.16743 -1.19972
50 2.51403 -2.51403  -0.0293486 -1.5853
60 2.51403 -2.51403  -0.0293486 -1.5853
70 2.51403 -2.51403  -0.0293486 -1.5853
80 2.51403 -2.51403  -0.0293486 -1.5853
90 2.51403 -2.51403  -0.0293486 -1.5853
100 2.51403 -2.51403  -0.0293486 -1.5853
110 2.51403 -2.51403  -0.0293486 -1.5853
120 2.51403 -2.51403  -0.0293486 -1.5853
130 2.51403 -2.51403  -0.0293486 -1.5853
140 2.51403 -2.51403  -0.0293486 -1.5853
150 2.51403 -2.51403  -0.0293486 -1.5853
160 2.51403 -2.51403  -0.0293486 -1.5853
170 2.51403 -2.51403  -0.0293486 -1.5853
180 2.51403 -2.51403  -0.0293486 -1.5853
190 0.454213 -0.454213  -0.00891644 -0.673895
200 0.454213 -0.454213  -0.00891644 -0.673895
210 0.454213 -0.454213  -0.00891644 -0.673895
220 0.454213 -0.454213  -0.00891644 -0.673895
230 0.454213 -0.454213  -0.00891644 -0.673895
240 0.454213 -0.454213  -0.00891644 -0.673895
250 0.454213 -0.454213  -0.00891644 -0.673895
260 0.454213 -0.454213  -0.00891644 -0.673895
270 0.454213 -0.454213  -0.00891644 -0.673895
280 0.454213 -0.454213  -0.00891644 -0.673895
290 0.454213 -0.454213  -0.00891644 -0.673895
300 0.454213 -0.454213  -0.00891644 -0.673895
310 0.454213 -0.454213  -0.00891644 -0.673895
320 0.454213 -0.454213  -0.00891644 -0.673895
330 0.360092 -0.360092  0.080624 0.594636
340 0.176638 -0.176638  -0.00891644 -0.420188
350 0.129175 -0.129175  -0.00891644 -0.359299
360 0.126275 -0.126275  -0.00891644 -0.35524
370 0.126275 -0.126275  -0.00891644 -0.35524
380 0.126275 -0.126275  -0.00891644 -0.35524
390 0.126275 -0.126275  -0.00891644 -0.35524
400 0.126275 -0.126275  -0.00891644 -0.35524
