popSize  pXover  pMut  mEpsilon 
10 0.5 0.05 0.05
320 0.000262036 -0.000262036  -0.00502708 -0.0153871
330 0.000262036 -0.000262036  -0.00502708 -0.0153871
340 0.000262036 -0.000262036  -0.00502708 -0.0153871
350 0.000262036 -0.000262036  -0.00502708 -0.0153871
360 0.000262036 -0.000262036  -0.00502708 -0.0153871
370 0.000262036 -0.000262036  -0.00502708 -0.0153871
380 0.000262036 -0.000262036  -0.00502708 -0.0153871
390 0.000262036 -0.000262036  -0.00502708 -0.0153871
400 0.000262036 -0.000262036  -0.00502708 -0.0153871
410 0.000262036 -0.000262036  -0.00502708 -0.0153871
420 0.000262036 -0.000262036  -0.00502708 -0.0153871
430 0.000262036 -0.000262036  -0.00502708 -0.0153871
440 0.000262036 -0.000262036  -0.00502708 -0.0153871
450 0.000262036 -0.000262036  -0.00502708 -0.0153871
460 0.000262036 -0.000262036  -0.00502708 -0.0153871
470 0.000262036 -0.000262036  -0.00502708 -0.0153871
480 0.000262036 -0.000262036  -0.00502708 -0.0153871
490 0.000262036 -0.000262036  -0.00502708 -0.0153871
500 0.000262036 -0.000262036  -0.00502708 -0.0153871
10 26.8317 -26.8317  -3.44499 -3.8683
20 11.2629 -11.2629  -0.616213 -3.29897
30 10.8951 -10.8951  -0.0704863 -3.30003
40 8.6996 -8.6996  0.284335 -2.93577
50 5.46686 -5.46686  0.929349 -2.1455
60 5.06491 -5.06491  0.361512 -2.22131
70 3.3822 -3.3822  0.0983124 -1.83645
80 0.793668 -0.793668  0.173439 -0.873835
90 0.793668 -0.793668  0.173439 -0.873835
100 0.0162316 -0.0162316  0.0030461 -0.127367
110 0.0162316 -0.0162316  0.0030461 -0.127367
120 0.0162316 -0.0162316  0.0030461 -0.127367
130 0.0162316 -0.0162316  0.0030461 -0.127367
140 0.0162316 -0.0162316  0.0030461 -0.127367
150 0.0162316 -0.0162316  0.0030461 -0.127367
160 0.0162316 -0.0162316  0.0030461 -0.127367
170 0.0162316 -0.0162316  0.0030461 -0.127367
180 0.0162316 -0.0162316  0.0030461 -0.127367
190 0.0162316 -0.0162316  0.0030461 -0.127367
200 0.0162316 -0.0162316  0.0030461 -0.127367
210 0.0162316 -0.0162316  0.0030461 -0.127367
220 3.04881e-05 -3.04881e-05  0.00168335 -0.00525875
230 6.52261e-06 -6.52261e-06  0.00165493 0.0019452
240 3.19264e-06 -3.19264e-06  0.00163867 -0.000712333
